observed_fraction,latent_dim,avg_ks_statistic_mean,avg_ks_statistic_std,avg_wasserstein_distance_mean,avg_wasserstein_distance_std,correlation_structure_distance_mean,correlation_structure_distance_std,covariance_structure_distance_mean,covariance_structure_distance_std,utility_macro_f1_mean,utility_macro_f1_std,utility_balanced_accuracy_mean,utility_balanced_accuracy_std,spd_absolute_gap_mean,spd_absolute_gap_std,runtime_seconds_mean
0.05,12,0.31506499535747445,0.0011307969088126585,0.4062777955298814,0.0012090539895942608,5.35092427377504,0.03175001286064144,3.9572177495127336,0.06090715751266005,0.5977699649791155,0.006601021164259521,0.6034579261400874,0.008702505501791205,0.025418897080234516,0.006300282771527034,0.0883638858795166
0.05,16,0.3056058495821727,0.0012783025662691054,0.40270595002588755,0.0025357706818835953,4.093370829987331,0.03239363504213,3.535868707178203,0.037280221848354965,0.6213170911733314,0.003235007364313967,0.6350429003332754,0.00443737129163141,0.024329265314520183,0.004496310764840131,0.11246824264526367
0.05,20,0.29964484679665737,0.0014076836766005654,0.4085347787259028,0.0010198790096655305,3.5375847984602826,0.026752067973180183,3.3236484119275973,0.030363350852999793,0.6227289537711759,0.001355590050266604,0.6366025632761113,0.0017086267625545707,0.023036230663290413,0.010109770754019786,0.15124201774597168
0.05,23,0.2973398328690807,0.0014612759343269964,0.4049505366283528,0.0021106198545280145,3.0617699862266567,0.02591139556313723,3.131853427347884,0.055423064878304035,0.6512297461929876,0.0073099111510434205,0.6763357896784863,0.014957628645703979,0.029265134387447905,0.002771784246083795,0.18058972358703612
0.1,12,0.31172237697307337,0.001321719151478827,0.40700496637659384,0.0020082145536197936,5.1663155259058104,0.026396754410993185,3.698938913669332,0.031159931609340247,0.601801474340194,0.004471079224539568,0.6088347705965649,0.006074972972978484,0.02089358164357108,0.0072576365122260875,0.08942017555236817
0.1,16,0.2979526462395543,0.0019511487378304246,0.39786985449568324,0.0027991380899076283,3.8979703494873674,0.030131473785070254,3.2745948986324103,0.03487492295543357,0.6215930556790057,0.0014006252554024591,0.6357624988987518,0.0019397722505171025,0.019489755522522367,0.007894556071683328,0.12591004371643066
0.1,20,0.2960329619312906,0.002708544151195396,0.40533503327204023,0.0016229587554202178,3.3362176112138635,0.035678622778840235,2.994716563507194,0.03441598830557571,0.6235261402425389,0.0021642804986695954,0.6382683287994138,0.0022013745805370606,0.026917588325801205,0.0063260376089201605,0.1783298969268799
0.1,23,0.2907056638811514,0.0007185330071650935,0.40024034023481014,0.0012763219266926874,2.78319882065334,0.021247324993109027,2.839564924929523,0.012746869427501747,0.6545709762659468,0.009079460525113084,0.6737607313098886,0.013770744056716392,0.025343325713238263,0.005724611974165363,0.23455457687377929
0.2,12,0.3141852367688022,0.0026146219931213266,0.40478117563432436,0.0013055321539948797,5.018870301463084,0.04172002065878262,3.6620769878312687,0.0473234616997514,0.592115722752275,0.0035901184104942504,0.5975895019349737,0.004535329467990797,0.029449836264567226,0.0029697268825653014,0.13298182487487792
0.2,16,0.3022585886722377,0.0009083970526709877,0.39416250387143,0.0019035737631194608,3.7966641719527763,0.025245461552169883,3.2400604945362588,0.03767075857144148,0.6163910824491083,0.0029973926778108146,0.6290434410192939,0.004160881625076808,0.02782106519721934,0.006477578039923474,0.16418566703796386
0.2,20,0.29800371402042714,0.0015471699567765139,0.40136382324264835,0.002080214277925696,3.221107453637752,0.017220295377144645,2.986183069435588,0.0281664060695712,0.6179325037614046,0.0037503293740173537,0.6327224024508951,0.00563330834628755,0.025384359972392488,0.013364479944472155,0.18638510704040528
0.2,23,0.29106545961002783,0.0006619873515140766,0.3958524063390981,0.0012154860347239858,2.640100663266061,0.007104883206626118,2.8055237986740598,0.03561003664351138,0.6725882901493,0.00922220237322572,0.725406958833925,0.006423578722254775,0.023429391224772344,0.012621550119486126,0.21584925651550294
0.3,12,0.31370937790157843,0.0011620928588655893,0.40422606564068253,0.0005920694256396048,4.951631966457957,0.03101872075799468,3.5880027928376528,0.030473261869815565,0.5928770423788892,0.002330942864835881,0.5987888619754567,0.0022932981337571694,0.019171695043092657,0.009560975158258158,0.11571297645568848
0.3,16,0.3020241411327762,0.0016597962132303265,0.3993697335917342,0.001411487194320652,3.709517354594646,0.052376839231554354,3.142046327474548,0.04959534567862278,0.6053182233057157,0.011311101486898324,0.6151920348596096,0.01480822607103793,0.02535350781214128,0.005824405825214633,0.15692381858825682
0.3,20,0.29667827298050137,0.00107555529329417,0.40342736420807157,0.0013975657197769422,3.1240910502281323,0.017893647639908247,2.907887945105366,0.013861719514609856,0.6175282137932963,0.0052392691397147115,0.6326200736600763,0.007966985151865282,0.025526242572717357,0.007639011043430654,0.1834348678588867
0.3,23,0.2915413184772516,0.0019351139916297447,0.39867724156801543,0.0019318538220928526,2.5852263324422298,0.016671939780942537,2.7195810430188216,0.014829472653684206,0.6642662512048223,0.01231967090273836,0.7292441874604796,0.01165410981470097,0.025725474541334357,0.0077812070371968,0.24447078704833985
1.0,12,0.315933147632312,0.0009330061515921009,0.40550748018385363,0.002151568257338791,4.859907219073347,0.0407213395248626,3.358757054136634,0.03632857089713918,0.5952185308318152,0.003477832762457866,0.599467512908778,0.004670297646197767,0.022484436849993038,0.006920249829754487,0.1247248649597168
1.0,16,0.3025789229340761,0.0019745645410955306,0.39924589859814097,0.0018635045416828797,3.625743342339237,0.022161093134367885,2.934785079351549,0.03240892485828047,0.6035845455927047,0.007794467084545172,0.6135882816982214,0.009636456271776915,0.01837485782767135,0.009557948173459707,0.16012234687805177
1.0,20,0.2982497678737233,0.0018798896675131698,0.4047292816662374,0.0013062420859117334,3.0504882640754225,0.02250459235553795,2.686574639891147,0.0418879921902105,0.6224701441497305,0.0027290044257081165,0.637874028215591,0.004487567259662739,0.02370689955410322,0.00800078754257711,0.21264891624450682
1.0,23,0.2929503249767874,0.001565897779986648,0.40021151535733795,0.0015461651425791984,2.453083573783479,0.03405204798831124,2.5039140485851554,0.05883471595826126,0.6731037007887821,0.014803903486914108,0.7314402552815474,0.022148698817521722,0.02686102343836924,0.0025376988560519642,0.2547580718994141
