,cycle,upper_limb_difficulty,adl_difficulty,age,sex,race_ethnicity,education,income_poverty_ratio,BMI,height_cm,weight_kg,mean_SBP,mean_DBP,max_grip_strength,HbA1c,fasting_glucose,total_cholesterol,HDL,triglycerides,LDL,smoking_status,MET_min_week,meets_activity_guideline,sedentary_minutes_day,PHQ9_score,PHQ9_category,arthritis,arthritis_type,medication_count,polypharmacy
cycle,1.0,0.07049775982227886,0.058950807292213525,0.017286120960498908,-0.019267890287965352,-0.040568926884273555,0.042220390700123046,0.03805701585505759,0.0457528630823446,-0.002858604765642022,0.03974507088296132,0.06032894514560288,0.043744559760148856,-0.03896173848569144,0.017244930429347726,0.03318394722689437,-0.04298931600946266,0.018268420804532733,-0.04513511452506238,-0.01708537133498628,-0.0007240411834402353,0.0747357281076549,0.06740812187478257,-0.08352775215019047,-0.005365111786882054,-0.004367907278508622,0.0291465296667119,0.0467210584533831,0.013162069116938032,0.018609691699767974
upper_limb_difficulty,0.07049775982227886,1.0,0.4521184987117387,0.018338297061429278,0.1331473267323329,-0.016148344397850452,-0.09100676225114633,-0.11426291074054847,0.09241665321090245,-0.13273606162089013,0.02164323726456014,0.020588335054206708,-0.017889017078330193,-0.1537965039656738,0.04354786921452031,0.04049235124585856,-0.029523881307533587,-0.018090212715374948,-0.0031143166318332743,-0.020923027555011492,0.06619283193797214,-0.06320509449579904,-0.09738474053148806,0.065103061279113,0.2401371202734949,0.20842366869406226,0.2609219143177554,0.09927688220498578,0.26560578103258226,0.23352927415897498
adl_difficulty,0.058950807292213525,0.4521184987117387,1.0,0.018703141647380583,-0.012949388417811167,-0.022729513514029544,-0.08108859911358438,-0.08801235859078149,0.12330479819788534,-0.023428198299358244,0.10044997548770786,0.01006936684404016,0.0018480116614764531,-0.07265496239253791,0.06551565683542841,0.05579917866830559,-0.046917736667137167,-0.05717053056653594,-0.008300415274501816,-0.01611526760137584,0.05206624420418041,-0.04895271828264018,-0.07641556214943117,0.058591129694045334,0.23368460096694954,0.2057272397886103,0.19788939794106053,0.08035424305835794,0.23892006421257858,0.20430539468118838
age,0.017286120960498908,0.018338297061429278,0.018703141647380583,1.0,-0.0077245165226715274,0.006220299362027615,-0.06538404960156846,0.12786936441335675,-0.13143666344565424,-0.15698043395928812,-0.1886751100598009,0.3105065762452992,-0.18840317595376865,-0.23255610364825496,0.11473869263137451,0.07388836557705974,-0.040906002433816376,0.10744682282554593,-0.0610366717501627,-0.04168461025028951,-0.15303043377433068,-0.14710890149364378,-0.1429166327051557,0.007011984678684064,-0.2415326246917931,-0.22514513299533434,0.166402649055027,0.003556334425286074,0.20876466155760487,0.1885887722383262
sex,-0.019267890287965352,0.1331473267323329,-0.012949388417811167,-0.0077245165226715274,1.0,-0.01083088272681037,0.019487699916085725,-0.019066775369696098,0.11583783858162104,-0.6510715684314693,-0.19285347182199086,0.010945151215279138,-0.08271971123445129,-0.46389735057105197,-0.014508596864356018,-0.04487490857704049,0.18504448797598477,0.2601656959453805,0.019590352935216587,0.08048495798548273,-0.1876342569644307,-0.08979936122078318,-0.08010463224827791,-0.0041400986961924085,0.10419736575748122,0.08988335927394987,0.15902326757544222,0.026718726543314832,0.045284635819114835,0.04132274475383455
race_ethnicity,-0.040568926884273555,-0.016148344397850452,-0.022729513514029544,0.006220299362027615,-0.01083088272681037,1.0,0.24955600726561702,0.048365149153173304,-0.00855096293007419,0.20657864362561776,0.0877921912441244,0.05136261771512296,0.06687337998870399,0.09149816996209646,-0.06016008998883461,-0.06532710558422898,-0.02250211338315011,0.11557205760470281,-0.07268811948028206,-0.017674965555383386,0.08376389683950311,-0.017485445787443578,0.02129960464374018,0.1381382756133405,-0.033986264013542294,-0.032127844525777764,0.03846161460453224,0.017708749992791865,0.05163024408950765,0.0551810360947833
education,0.042220390700123046,-0.09100676225114633,-0.08108859911358438,-0.06538404960156846,0.019487699916085725,0.24955600726561702,1.0,0.21632465072004,0.03320476158946398,0.1652360698591152,0.10601836331655051,-0.06183810046323579,0.04423951707075441,0.08731592265446031,-0.08806887068724231,-0.05598463533667747,0.03896503696969306,0.07192545136435825,0.0031595259541271612,0.018912080890530973,-0.01117729066106198,0.04343084186022426,0.13216950572002592,0.12258125359806428,-0.054405143651515095,-0.0471464193658035,0.017928736751528063,0.005317016065844271,-0.012871908393495037,-0.015683406425625986
income_poverty_ratio,0.03805701585505759,-0.11426291074054847,-0.08801235859078149,0.12786936441335675,-0.019066775369696098,0.048365149153173304,0.21632465072004,1.0,-0.019578854503714063,0.042360412535514334,0.002918035526566392,0.002309996409097487,-0.037993956441355725,0.025879138894485038,-0.030147538778036075,-0.02876814479125879,0.0072594446330480275,0.04911917477719641,-0.014847628863756396,-0.0003976154000898714,-0.10575159955155435,0.018243224760073153,0.059331165238988536,0.04113169656592821,-0.13020887166578976,-0.11869944431380781,0.008041979123305685,-0.024339231662061995,-0.013364722922553071,-0.01062778664177455
BMI,0.0457528630823446,0.09241665321090245,0.12330479819788534,-0.13143666344565424,0.11583783858162104,-0.00855096293007419,0.03320476158946398,-0.019578854503714063,1.0,-0.029001156494782587,0.8786922791757602,-0.0010543578469336416,0.048363947937773946,0.07323161161791122,0.1600700422923575,0.1358518806531859,-0.035502016575314585,-0.23417198056894487,0.07607343814623926,-0.004873260039015624,-0.048082282666611444,-0.012031826930299607,-0.01854514600511078,0.1298924117518106,0.12686718860277918,0.12422885328139723,0.1682370755380676,0.06619092469272783,0.200628285121674,0.17358345709611828
height_cm,-0.002858604765642022,-0.13273606162089013,-0.023428198299358244,-0.15698043395928812,-0.6510715684314693,0.20657864362561776,0.1652360698591152,0.042360412535514334,-0.029001156494782587,1.0,0.4278440076442813,-0.09783959531555035,0.1297608699443349,0.5476450489711167,-0.02672806638052717,0.0134430583796768,-0.1217528899671956,-0.18395893070900138,-0.013409464084967319,-0.04299457753836957,0.22075578318219904,0.09511095524478078,0.12449780481172362,0.0699397287823891,-0.03023040092572083,-0.02008032876347485,-0.08511640033977509,-0.01761187410248446,-0.03738203250778525,-0.03216553505131367
weight_kg,0.03974507088296132,0.02164323726456014,0.10044997548770786,-0.1886751100598009,-0.19285347182199086,0.0877921912441244,0.10601836331655051,0.002918035526566392,0.8786922791757602,0.4278440076442813,1.0,-0.0398492731422162,0.1082079318819145,0.31503337357903805,0.13573227958139178,0.13003180447799403,-0.08533527892266513,-0.2978371987632703,0.06622543077592297,-0.02298569908601655,0.051434625069445544,0.0310579878587282,0.037921291180469545,0.15165084945029175,0.0971761319543559,0.099049959037229,0.11206534475717858,0.050290537039024225,0.16422402783509626,0.14199313320476273
mean_SBP,0.06032894514560288,0.020588335054206708,0.01006936684404016,0.3105065762452992,0.010945151215279138,0.05136261771512296,-0.06183810046323579,0.002309996409097487,-0.0010543578469336416,-0.09783959531555035,-0.0398492731422162,1.0,0.35886409741814607,-0.07784493826432841,0.07610487529605395,0.06854726707942907,0.07575355916361118,0.06766069760679651,0.03142132060078932,0.027732064356626184,-0.04144477847651153,-0.0605895176089382,-0.07136103527209621,-0.03109982308734081,-0.09305140217768071,-0.08144898739908873,0.034711316628364866,0.014907391937316283,0.031707093875305604,0.03423094202758449
mean_DBP,0.043744559760148856,-0.017889017078330193,0.0018480116614764531,-0.18840317595376865,-0.08271971123445129,0.06687337998870399,0.04423951707075441,-0.037993956441355725,0.048363947937773946,0.1297608699443349,0.1082079318819145,0.35886409741814607,1.0,0.14630278395276447,-0.047427183237643444,-0.012706913626588804,0.13703742960240112,-0.011154372241946793,0.08775121716528365,0.07862592005754693,0.0441028668610865,0.03683465895794184,0.043783850485540766,-0.03229174590488308,0.02959001411847318,0.034891461517212126,-0.047431114440406714,0.006336033385019297,-0.14381541055841648,-0.1256505112539321
max_grip_strength,-0.03896173848569144,-0.1537965039656738,-0.07265496239253791,-0.23255610364825496,-0.46389735057105197,0.09149816996209646,0.08731592265446031,0.025879138894485038,0.07323161161791122,0.5476450489711167,0.31503337357903805,-0.07784493826432841,0.14630278395276447,1.0,-0.03888040257745532,-0.016205964702557873,-0.03898990332298877,-0.15411789660057956,0.03788270828640356,-0.007747159986698886,0.14037066407519763,0.16300126702887735,0.18640851262294694,-0.04397427937402741,-0.026380093590897095,-0.014917442535661633,-0.11632685089730636,-0.0067606569656963504,-0.11625486309706023,-0.10172786998474667
HbA1c,0.017244930429347726,0.04354786921452031,0.06551565683542841,0.11473869263137451,-0.014508596864356018,-0.06016008998883461,-0.08806887068724231,-0.030147538778036075,0.1600700422923575,-0.02672806638052717,0.13573227958139178,0.07610487529605395,-0.047427183237643444,-0.03888040257745532,1.0,0.7396250759670411,-0.034109088014387036,-0.18630641795387376,0.10228148906626651,-0.04871430631192666,-0.028061846061525394,-0.045806136955567324,-0.05854401750966162,-0.014837451818796008,0.02848559356057814,0.030286150459889662,0.036613175464950715,0.015069793736037777,0.221250984959467,0.20398539877819308
fasting_glucose,0.03318394722689437,0.04049235124585856,0.05579917866830559,0.07388836557705974,-0.04487490857704049,-0.06532710558422898,-0.05598463533667747,-0.02876814479125879,0.1358518806531859,0.0134430583796768,0.13003180447799403,0.06854726707942907,-0.012706913626588804,-0.016205964702557873,0.7396250759670411,1.0,-0.0026717311005960472,-0.18744719924936828,0.19826690229114236,-0.05677157264362576,-0.019485372701460127,-0.02360583145911047,-0.03479619025511509,-0.0058854919638697285,0.030051880350943687,0.031050182362805608,0.02960197462229367,0.015305644833611102,0.16389562117757336,0.1529729739187873
total_cholesterol,-0.04298931600946266,-0.029523881307533587,-0.046917736667137167,-0.040906002433816376,0.18504448797598477,-0.02250211338315011,0.03896503696969306,0.0072594446330480275,-0.035502016575314585,-0.1217528899671956,-0.08533527892266513,0.07575355916361118,0.13703742960240112,-0.03898990332298877,-0.034109088014387036,-0.0026717311005960472,1.0,0.24229277519520012,0.4907379113146227,0.6255302691427117,-0.020597095935143302,-0.0006050782942930435,0.006344521806906272,-0.0439968798376865,0.03121028998173122,0.03515678185264238,-0.013081373873902132,-0.013023368520042307,-0.21583953643558582,-0.19422159375963086
HDL,0.018268420804532733,-0.018090212715374948,-0.05717053056653594,0.10744682282554593,0.2601656959453805,0.11557205760470281,0.07192545136435825,0.04911917477719641,-0.23417198056894487,-0.18395893070900138,-0.2978371987632703,0.06766069760679651,-0.011154372241946793,-0.15411789660057956,-0.18630641795387376,-0.18744719924936828,0.24229277519520012,1.0,-0.22115641650112092,0.05091994724635005,-0.07511464972231253,-0.012074601138850482,0.016725166368839393,-0.045854672072096835,-0.05926800824885659,-0.05720531926268332,0.027566672255992512,-0.0116638207049613,-0.10398616483941049,-0.10096224950163438
triglycerides,-0.04513511452506238,-0.0031143166318332743,-0.008300415274501816,-0.0610366717501627,0.019590352935216587,-0.07268811948028206,0.0031595259541271612,-0.014847628863756396,0.07607343814623926,-0.013409464084967319,0.06622543077592297,0.03142132060078932,0.08775121716528365,0.03788270828640356,0.10228148906626651,0.19826690229114236,0.4907379113146227,-0.22115641650112092,1.0,0.0173597369267472,0.022549508373821293,-0.007882905976437206,-0.010910875718902993,0.004073404740721564,0.05574295041031255,0.05636537233969132,-0.008932810216342478,0.004260445438001121,-0.043207811262429216,-0.04310036478246738
LDL,-0.01708537133498628,-0.020923027555011492,-0.01611526760137584,-0.04168461025028951,0.08048495798548273,-0.017674965555383386,0.018912080890530973,-0.0003976154000898714,-0.004873260039015624,-0.04299457753836957,-0.02298569908601655,0.027732064356626184,0.07862592005754693,-0.007747159986698886,-0.04871430631192666,-0.05677157264362576,0.6255302691427117,0.05091994724635005,0.0173597369267472,1.0,-0.009539945837571579,0.014176948399577416,0.016260510882788726,-0.03867079006799481,0.015868965000235657,0.018698056472373666,-0.020448027183855917,-0.013146996159574199,-0.1713645191424898,-0.14433091699969883
smoking_status,-0.0007240411834402353,0.06619283193797214,0.05206624420418041,-0.15303043377433068,-0.1876342569644307,0.08376389683950311,-0.01117729066106198,-0.10575159955155435,-0.048082282666611444,0.22075578318219904,0.051434625069445544,-0.04144477847651153,0.0441028668610865,0.14037066407519763,-0.028061846061525394,-0.019485372701460127,-0.020597095935143302,-0.07511464972231253,0.022549508373821293,-0.009539945837571579,1.0,0.053540799733651376,0.005472573116134249,0.04385810212414205,0.1474452173432173,0.14001261984443794,0.028088513232010972,0.0401180352319214,0.026594467312843085,0.02316262669904222
MET_min_week,0.0747357281076549,-0.06320509449579904,-0.04895271828264018,-0.14710890149364378,-0.08979936122078318,-0.017485445787443578,0.04343084186022426,0.018243224760073153,-0.012031826930299607,0.09511095524478078,0.0310579878587282,-0.0605895176089382,0.03683465895794184,0.16300126702887735,-0.045806136955567324,-0.02360583145911047,-0.0006050782942930435,-0.012074601138850482,-0.007882905976437206,0.014176948399577416,0.053540799733651376,1.0,0.5351555360470227,-0.13122723476629408,0.008370754646304095,0.014108148735935916,-0.05744095885173019,-0.016209705721352153,-0.105814741502388,-0.08425778803247604
meets_activity_guideline,0.06740812187478257,-0.09738474053148806,-0.07641556214943117,-0.1429166327051557,-0.08010463224827791,0.02129960464374018,0.13216950572002592,0.059331165238988536,-0.01854514600511078,0.12449780481172362,0.037921291180469545,-0.07136103527209621,0.043783850485540766,0.18640851262294694,-0.05854401750966162,-0.03479619025511509,0.006344521806906272,0.016725166368839393,-0.010910875718902993,0.016260510882788726,0.005472573116134249,0.5351555360470227,1.0,-0.11568645828721029,-0.03153793149407804,-0.020865730553520943,-0.05649955490287013,-0.008626130454192324,-0.11743534761164544,-0.09609625651161259
sedentary_minutes_day,-0.08352775215019047,0.065103061279113,0.058591129694045334,0.007011984678684064,-0.0041400986961924085,0.1381382756133405,0.12258125359806428,0.04113169656592821,0.1298924117518106,0.0699397287823891,0.15165084945029175,-0.03109982308734081,-0.03229174590488308,-0.04397427937402741,-0.014837451818796008,-0.0058854919638697285,-0.0439968798376865,-0.045854672072096835,0.004073404740721564,-0.03867079006799481,0.04385810212414205,-0.13122723476629408,-0.11568645828721029,1.0,0.07518623154772572,0.06403210509209717,0.058872659593709346,-0.0020343019629364602,0.14435004049952477,0.12613022164583876
PHQ9_score,-0.005365111786882054,0.2401371202734949,0.23368460096694954,-0.2415326246917931,0.10419736575748122,-0.033986264013542294,-0.054405143651515095,-0.13020887166578976,0.12686718860277918,-0.03023040092572083,0.0971761319543559,-0.09305140217768071,0.02959001411847318,-0.026380093590897095,0.02848559356057814,0.030051880350943687,0.03121028998173122,-0.05926800824885659,0.05574295041031255,0.015868965000235657,0.1474452173432173,0.008370754646304095,-0.03153793149407804,0.07518623154772572,1.0,0.9529602873249979,0.11563299325696864,0.0433022693640924,0.19151832220814716,0.1584403172308826
PHQ9_category,-0.004367907278508622,0.20842366869406226,0.2057272397886103,-0.22514513299533434,0.08988335927394987,-0.032127844525777764,-0.0471464193658035,-0.11869944431380781,0.12422885328139723,-0.02008032876347485,0.099049959037229,-0.08144898739908873,0.034891461517212126,-0.014917442535661633,0.030286150459889662,0.031050182362805608,0.03515678185264238,-0.05720531926268332,0.05636537233969132,0.018698056472373666,0.14001261984443794,0.014108148735935916,-0.020865730553520943,0.06403210509209717,0.9529602873249979,1.0,0.09856977530356478,0.03924443014812003,0.17535988461204846,0.14249699428134083
arthritis,0.0291465296667119,0.2609219143177554,0.19788939794106053,0.166402649055027,0.15902326757544222,0.03846161460453224,0.017928736751528063,0.008041979123305685,0.1682370755380676,-0.08511640033977509,0.11206534475717858,0.034711316628364866,-0.047431114440406714,-0.11632685089730636,0.036613175464950715,0.02960197462229367,-0.013081373873902132,0.027566672255992512,-0.008932810216342478,-0.020448027183855917,0.028088513232010972,-0.05744095885173019,-0.05649955490287013,0.058872659593709346,0.11563299325696864,0.09856977530356478,1.0,0.3589020257711884,0.2890292678330259,0.24412357198336665
arthritis_type,0.0467210584533831,0.09927688220498578,0.08035424305835794,0.003556334425286074,0.026718726543314832,0.017708749992791865,0.005317016065844271,-0.024339231662061995,0.06619092469272783,-0.01761187410248446,0.050290537039024225,0.014907391937316283,0.006336033385019297,-0.0067606569656963504,0.015069793736037777,0.015305644833611102,-0.013023368520042307,-0.0116638207049613,0.004260445438001121,-0.013146996159574199,0.0401180352319214,-0.016209705721352153,-0.008626130454192324,-0.0020343019629364602,0.0433022693640924,0.03924443014812003,0.3589020257711884,1.0,0.0997259964005299,0.08870201632722595
medication_count,0.013162069116938032,0.26560578103258226,0.23892006421257858,0.20876466155760487,0.045284635819114835,0.05163024408950765,-0.012871908393495037,-0.013364722922553071,0.200628285121674,-0.03738203250778525,0.16422402783509626,0.031707093875305604,-0.14381541055841648,-0.11625486309706023,0.221250984959467,0.16389562117757336,-0.21583953643558582,-0.10398616483941049,-0.043207811262429216,-0.1713645191424898,0.026594467312843085,-0.105814741502388,-0.11743534761164544,0.14435004049952477,0.19151832220814716,0.17535988461204846,0.2890292678330259,0.0997259964005299,1.0,0.8202236145932396
polypharmacy,0.018609691699767974,0.23352927415897498,0.20430539468118838,0.1885887722383262,0.04132274475383455,0.0551810360947833,-0.015683406425625986,-0.01062778664177455,0.17358345709611828,-0.03216553505131367,0.14199313320476273,0.03423094202758449,-0.1256505112539321,-0.10172786998474667,0.20398539877819308,0.1529729739187873,-0.19422159375963086,-0.10096224950163438,-0.04310036478246738,-0.14433091699969883,0.02316262669904222,-0.08425778803247604,-0.09609625651161259,0.12613022164583876,0.1584403172308826,0.14249699428134083,0.24412357198336665,0.08870201632722595,0.8202236145932396,1.0
